,target_temperature,month,day,hour,temperature_lag_1,cloud_cover_lag_1,wind_speed_lag_1
4001,23.0,6,16,19,1.3450036472813567,-0.08295243612254194,0.16015563868433635
4002,22.0,6,16,20,1.3979640444099215,-0.4628475325432167,0.2085738595260216
4003,20.5,6,16,21,1.265563051588509,-1.602532821805241,0.9348471721513023
4004,17.8,6,16,22,1.0669615623563902,-1.602532821805241,0.30541030120939244
4005,15.8,6,16,23,0.7094788817385763,-1.602532821805241,-0.9050452198327421
4006,14.3,6,17,0,0.4446768960957512,-1.602532821805241,-1.534482090774652
4007,13.5,6,17,1,0.24607540686363233,-1.602532821805241,-1.3408092074079105
4008,13.0,6,17,2,0.1401546126065022,-1.602532821805241,-1.389227428249596
4009,12.4,6,17,3,0.07395411619579591,-1.602532821805241,-1.389227428249596
4010,11.8,6,17,4,-0.005486479497051576,-1.602532821805241,-1.2923909865662253
4011,11.5,6,17,5,-0.08492707518989906,-1.602532821805241,-1.389227428249596
4012,11.7,6,17,6,-0.12464737303632292,-1.602532821805241,-1.389227428249596
4013,14.9,6,17,7,-0.09816717447204051,-1.602532821805241,-1.4376456490912812
4014,17.0,6,17,8,0.32551600255647983,-1.602532821805241,-1.1955545448828544
4015,19.1,6,17,9,0.6035580874814461,-1.602532821805241,-1.0987181031994835
4016,21.0,6,17,10,0.8816001724064128,-1.602532821805241,-0.8082087781493713
4017,22.1,6,17,11,1.1331620587670963,-1.602532821805241,-0.46928123225757373
4018,23.2,6,17,12,1.2788031508706503,-1.602532821805241,-0.1787719072074614
4019,24.5,6,17,13,1.424444242974204,-1.602532821805241,-0.4208630114158883
4020,25.1,6,17,14,1.5965655336420403,-0.4628475325432167,-0.46928123225757373
4021,25.7,6,17,15,1.676006129334888,-0.08295243612254194,-0.46928123225757373
4022,25.6,6,17,16,1.7554467250277352,-0.08295243612254194,-0.1787719072074614
4023,26.1,6,17,17,1.7422066257455944,-0.08295243612254194,-0.3240265697325174
4024,26.5,6,17,18,1.8084071221563005,-0.8427426289638915,-0.08193546552409053
4025,26.2,6,17,19,1.8613675192848655,-0.8427426289638915,-0.1787719072074614
4026,25.8,6,17,20,1.8216472214384416,-1.2226377253845662,-0.27560834889083224
4027,24.5,6,17,21,1.7686868243098768,-1.602532821805241,-0.3724447905742029
4028,22.1,6,17,22,1.5965655336420403,-1.602532821805241,-0.759790557307686
4029,18.7,6,17,23,1.2788031508706503,-1.602532821805241,-1.0502998823577983
4030,18.4,6,18,0,0.8286397752778474,-1.602532821805241,-1.147136324041169
4031,17.5,6,18,1,0.7889194774314235,-1.602532821805241,-1.0502998823577983
4032,17.1,6,18,2,0.6697585838921524,-1.602532821805241,-1.147136324041169
4033,17.3,6,18,3,0.6167981867635876,-1.602532821805241,-1.147136324041169
4034,16.8,6,18,4,0.64327838532787,-0.08295243612254194,-1.0502998823577983
4035,17.3,6,18,5,0.5770778889171637,-0.08295243612254194,-1.1955545448828544
4036,15.9,6,18,6,0.64327838532787,-0.08295243612254194,-1.147136324041169
4037,18.5,6,18,7,0.4579169953778924,0.2969426602981328,-1.2439727657245396
4038,19.4,6,18,8,0.802159576713565,0.2969426602981328,-1.147136324041169
4039,20.2,6,18,9,0.9213204702528361,0.2969426602981328,-0.8566269989910567
4040,23.3,6,18,10,1.0272412645099662,0.6768377567188075,-0.9534634406744276
4041,25.2,6,18,11,1.4376843422563454,0.2969426602981328,-0.9050452198327421
4042,26.5,6,18,12,1.689246228617029,0.6768377567188075,-1.0018816615161128
4043,27.4,6,18,13,1.8613675192848655,0.2969426602981328,-0.9050452198327421
4044,28.6,6,18,14,1.9805284128241365,0.6768377567188075,-0.1787719072074614
4045,27.6,6,18,15,2.139409604209832,0.6768377567188075,-0.22719012804914682
4046,27.6,6,18,16,2.0070086113884194,0.6768377567188075,-0.3724447905742029
4047,28.5,6,18,17,2.0070086113884194,0.6768377567188075,-0.5176994530992591
4048,27.8,6,18,18,2.1261695049276907,1.0567328531394824,-1.0018816615161128
4049,27.2,6,18,19,2.033488809952702,1.0567328531394824,-1.0987181031994835
4050,26.8,6,18,20,1.954048214259854,0.6768377567188075,-1.0987181031994835
4051,25.9,6,18,21,1.9010878171312893,0.6768377567188075,-1.1955545448828544
4052,22.9,6,18,22,1.7819269235920177,0.6768377567188075,-1.0502998823577983
4053,22.0,6,18,23,1.38472394512778,0.2969426602981328,-1.1955545448828544
4054,20.2,6,19,0,1.265563051588509,0.6768377567188075,-1.2923909865662253
4055,19.6,6,19,1,1.0272412645099662,-0.08295243612254194,-1.389227428249596
4056,19.9,6,19,2,0.947800668817119,0.6768377567188075,-0.9534634406744276
4057,19.3,6,19,3,0.9875209666635424,0.6768377567188075,-0.9050452198327421
4058,18.2,6,19,4,0.9080803709706952,0.6768377567188075,-0.9534634406744276
4059,18.8,6,19,5,0.7624392788671411,0.6768377567188075,-1.147136324041169
4060,18.0,6,19,6,0.8418798745599888,-0.08295243612254194,-1.0502998823577983
4061,19.0,6,19,7,0.7359590803028587,-1.2226377253845662,-1.1955545448828544
4062,21.3,6,19,8,0.8683600731242712,-1.2226377253845662,-0.9534634406744276
4063,23.4,6,19,9,1.1728823566135202,-1.602532821805241,-0.5661176739409444
4064,25.5,6,19,10,1.4509244415384863,-1.2226377253845662,-0.759790557307686
4065,27.4,6,19,11,1.7289665264634528,-1.2226377253845662,-0.3724447905742029
4066,28.3,6,19,12,1.9805284128241365,-1.2226377253845662,-0.03351724468240533
4067,29.4,6,19,13,2.099689306363408,0.2969426602981328,0.16015563868433635
4068,20.5,6,19,14,2.2453303984669617,0.2969426602981328,0.2085738595260216
4069,22.8,6,19,15,1.0669615623563902,0.2969426602981328,-0.3724447905742029
4070,25.2,6,19,16,1.371483845845639,0.6768377567188075,-0.7113723364660006
4071,21.3,6,19,17,1.689246228617029,-0.08295243612254194,-0.22719012804914682
4072,25.1,6,19,18,1.1728823566135202,0.2969426602981328,-0.4208630114158883
4073,25.7,6,19,19,1.676006129334888,-0.4628475325432167,-0.759790557307686
4074,24.5,6,19,20,1.7554467250277352,-0.8427426289638915,-0.8566269989910567
4075,19.3,6,19,21,1.5965655336420403,0.6768377567188075,-0.9050452198327421
4076,18.7,6,19,22,0.9080803709706952,1.0567328531394824,0.8864289513096171
4077,17.4,6,19,23,0.8286397752778474,0.6768377567188075,1.128520055518044
4078,17.1,6,20,0,0.6565184846100109,0.6768377567188075,-0.46928123225757373
4079,17.4,6,20,1,0.6167981867635876,0.2969426602981328,-0.6145358947826297
4080,16.7,6,20,2,0.6565184846100109,0.6768377567188075,-0.6629541156243152
4081,16.6,6,20,3,0.5638377896350223,-0.08295243612254194,-0.6629541156243152
4082,16.7,6,20,4,0.5505976903528813,-1.2226377253845662,-0.759790557307686
4083,16.8,6,20,5,0.5638377896350223,0.6768377567188075,-0.6629541156243152
4084,16.7,6,20,6,0.5770778889171637,0.6768377567188075,-0.3240265697325174
4085,17.0,6,20,7,0.5638377896350223,0.6768377567188075,-0.22719012804914682
4086,17.7,6,20,8,0.6035580874814461,1.0567328531394824,-0.22719012804914682
4087,18.2,6,20,9,0.6962387824564349,0.6768377567188075,-0.1787719072074614
4088,19.0,6,20,10,0.7624392788671411,0.6768377567188075,0.11173741784265094
4089,19.2,6,20,11,0.8683600731242712,0.6768377567188075,0.4990831845761341
4090,19.8,6,20,12,0.8948402716885537,0.6768377567188075,0.06331919700096553
4091,21.5,6,20,13,0.9742808673814014,0.6768377567188075,0.11173741784265094
4092,21.2,6,20,14,1.1993625551778027,0.6768377567188075,0.741174288784561
4093,22.4,6,20,15,1.1596422573313787,0.6768377567188075,1.128520055518044
4094,22.3,6,20,16,1.3185234487170738,0.6768377567188075,1.8547933681433246
4095,21.5,6,20,17,1.3052833494349327,0.6768377567188075,1.6127022639348978
4096,20.7,6,20,18,1.1993625551778027,0.6768377567188075,1.2737747180431
4097,19.8,6,20,19,1.0934417609206726,0.6768377567188075,1.0316836138346732
4098,19.4,6,20,20,0.9742808673814014,0.6768377567188075,0.06331919700096553
4099,18.2,6,20,21,0.9213204702528361,0.6768377567188075,-0.27560834889083224
4100,16.7,6,20,22,0.7624392788671411,0.6768377567188075,-0.03351724468240533
4101,16.2,6,20,23,0.5638377896350223,0.6768377567188075,-0.27560834889083224
4102,16.1,6,21,0,0.497637293224316,0.6768377567188075,-0.9050452198327421
4103,15.5,6,21,1,0.484397193942175,0.6768377567188075,-1.0987181031994835
4104,16.0,6,21,2,0.4049565982493273,0.2969426602981328,-1.2439727657245396
4105,14.5,6,21,3,0.4711570946600336,0.6768377567188075,-1.147136324041169
4106,14.4,6,21,4,0.27255560542791474,-0.4628475325432167,-1.1955545448828544
4107,12.7,6,21,5,0.25931550614577353,0.2969426602981328,-0.6629541156243152
4108,12.7,6,21,6,0.03423381834937205,-0.4628475325432167,-0.6629541156243152
4109,14.4,6,21,7,0.03423381834937205,-0.8427426289638915,-0.759790557307686
4110,15.1,6,21,8,0.25931550614577353,-0.4628475325432167,-0.759790557307686
4111,16.3,6,21,9,0.35199620112076224,-0.08295243612254194,-0.4208630114158883
4112,17.4,6,21,10,0.5108773925064575,-0.8427426289638915,-0.08193546552409053
4113,18.0,6,21,11,0.6565184846100109,-0.8427426289638915,0.2085738595260216
4114,19.2,6,21,12,0.7359590803028587,-0.4628475325432167,0.8380107304679314
4115,19.9,6,21,13,0.8948402716885537,-0.8427426289638915,0.741174288784561
4116,20.8,6,21,14,0.9875209666635424,-0.8427426289638915,0.4506649637344485
4117,20.4,6,21,15,1.106681860202814,-1.2226377253845662,0.30541030120939244
4118,21.5,6,21,16,1.0537214630742486,-1.2226377253845662,-0.22719012804914682
4119,21.4,6,21,17,1.1993625551778027,-0.8427426289638915,0.014900976159280098
4120,22.3,6,21,18,1.1861224558956611,-0.4628475325432167,0.4506649637344485
